fips,region,urbanisation,pct_aian_alone,pct_api_alone,pct_black_alone,pct_white_alone,pct_multiple_response,census2000_population
54063,south,nonmetro,0.23,0.17,6.0,92.81,0.79,14583
54065,south,medium_small_metro,0.17,0.13,0.6,98.63,0.46,14943
54067,south,nonmetro,0.25,0.22,0.06,98.97,0.49,26562
54069,south,medium_small_metro,0.09,0.83,3.62,94.65,0.81,47427
54071,south,nonmetro,0.27,0.22,2.18,96.62,0.71,8196
54073,south,medium_small_metro,0.47,0.2,0.48,98.42,0.44,7514
54075,south,nonmetro,0.07,0.14,0.78,98.49,0.53,9131
54077,south,medium_small_metro,0.11,0.16,0.29,98.95,0.48,29334
54079,south,medium_small_metro,0.16,0.64,0.57,98.14,0.49,51589
54081,south,nonmetro,0.19,0.76,8.55,89.8,0.71,79220
54083,south,nonmetro,0.16,0.4,1.08,97.93,0.43,28262
54085,south,nonmetro,0.27,0.13,0.14,98.84,0.63,10343
54087,south,nonmetro,0.21,0.24,0.23,98.79,0.54,15446
54089,south,nonmetro,0.25,0.14,2.18,96.72,0.72,12999
54091,south,nonmetro,0.19,0.21,0.84,98.23,0.53,16089
54093,south,nonmetro,0.19,0.14,0.07,99.0,0.6,7321
54095,south,nonmetro,0.05,0.09,0.03,99.4,0.43,9592
54097,south,nonmetro,0.19,0.32,0.63,98.38,0.47,23404
54099,south,medium_small_metro,0.23,0.22,0.13,98.9,0.52,42903
54101,south,nonmetro,0.07,0.08,0.01,99.21,0.63,9719
54103,south,nonmetro,0.1,0.36,0.08,98.99,0.47,17693
54105,south,medium_small_metro,0.26,0.1,0.29,98.86,0.49,5873
54107,south,medium_small_metro,0.21,0.55,1.04,97.5,0.7,87986
54109,south,nonmetro,0.12,0.08,0.66,98.66,0.48,25708
55001,midwest,nonmetro,0.6,0.35,0.27,98.1,0.68,18643
55003,midwest,nonmetro,10.38,0.39,0.23,87.45,1.55,16866
55005,midwest,nonmetro,0.81,0.38,0.19,98.04,0.58,44963
55007,midwest,nonmetro,9.41,0.28,0.13,88.78,1.39,15013
55009,midwest,medium_small_metro,2.33,2.29,1.21,93.18,1.0,226778
55011,midwest,nonmetro,0.3,0.38,0.12,98.82,0.38,13804
55013,midwest,nonmetro,4.47,0.31,0.37,93.54,1.31,15674
55015,midwest,medium_small_metro,0.34,1.62,0.31,97.13,0.6,40631
55017,midwest,medium_small_metro,0.32,0.95,0.18,98.08,0.48,55195
55019,midwest,nonmetro,0.48,0.32,0.13,98.69,0.38,33557
55021,midwest,medium_small_metro,0.36,0.38,0.91,97.76,0.59,52468
55023,midwest,nonmetro,0.23,0.3,1.37,97.56,0.55,17243
55025,midwest,medium_small_metro,0.35,3.58,4.08,90.62,1.37,426526
55027,midwest,nonmetro,0.42,0.39,2.5,96.31,0.39,85897
55029,midwest,nonmetro,0.66,0.3,0.22,98.28,0.54,27961
55031,midwest,medium_small_metro,1.83,0.69,0.58,95.65,1.24,43287
55033,midwest,nonmetro,0.27,2.21,0.35,96.51,0.66,39858
55035,midwest,medium_small_metro,0.55,2.68,0.54,95.36,0.87,93142
55037,midwest,nonmetro,0.43,0.29,0.16,98.33,0.79,5088
55039,midwest,medium_small_metro,0.4,0.93,0.92,97.11,0.63,97296
55041,midwest,nonmetro,11.35,0.21,1.22,86.21,1.01,10024
55043,midwest,nonmetro,0.14,0.48,0.54,98.44,0.4,49597
55045,midwest,nonmetro,0.21,0.31,0.26,98.61,0.61,33647
55047,midwest,nonmetro,0.2,0.44,0.16,98.76,0.43,19105
55049,midwest,medium_small_metro,0.11,0.36,0.17,98.88,0.48,22780
55051,midwest,nonmetro,0.6,0.22,0.09,98.37,0.73,6861
55053,midwest,nonmetro,6.2,0.21,2.27,90.65,0.67,19100
55055,midwest,nonmetro,0.35,0.49,0.3,98.25,0.62,74021
55057,midwest,nonmetro,1.33,0.46,0.34,97.29,0.58,24316
55059,midwest,large_fringe,0.41,1.02,5.22,92.11,1.24,149577
55061,midwest,medium_small_metro,0.27,0.15,0.16,98.98,0.43,20187
55063,midwest,medium_small_metro,0.41,3.28,0.98,94.52,0.8,107120
55065,midwest,nonmetro,0.11,0.26,0.11,99.21,0.32,16137
55067,midwest,nonmetro,0.55,0.3,0.16,98.18,0.81,20740
55069,midwest,nonmetro,0.44,0.43,0.43,98.15,0.55,29641
55071,midwest,nonmetro,0.44,2.09,0.3,96.59,0.58,82887
55073,midwest,medium_small_metro,0.35,4.67,0.28,94.15,0.55,125834
55075,midwest,nonmetro,0.52,0.31,0.23,98.37,0.57,43384
55077,midwest,nonmetro,1.06,0.37,3.58,94.26,0.73,15832
55078,midwest,nonmetro,87.4,0.04,0.09,11.84,0.64,4562
55079,midwest,large_central,0.76,2.75,24.91,70.19,1.38,940164
55081,midwest,nonmetro,0.94,0.53,0.48,97.42,0.63,40899
55083,midwest,medium_small_metro,0.79,0.22,0.15,98.1,0.74,35634
55085,midwest,nonmetro,0.67,0.36,0.33,98.02,0.62,36776
55087,midwest,medium_small_metro,1.56,2.37,0.56,94.8,0.71,160971
55089,midwest,large_fringe,0.22,1.1,0.94,97.15,0.6,82317
55091,midwest,nonmetro,0.19,0.25,0.08,99.03,0.44,7213
55093,midwest,large_fringe,0.29,0.47,0.25,98.39,0.6,36804
55095,midwest,nonmetro,1.08,0.3,0.16,97.91,0.56,41319
55097,midwest,nonmetro,0.39,2.4,0.33,96.28,0.6,67182
55099,midwest,nonmetro,0.61,0.33,0.1,98.43,0.53,15822
55101,midwest,medium_small_metro,0.4,0.8,10.66,87.06,1.08,188831
